Japanese,English,Kana
眼鏡,glasses,めがね
鞄,"bag, handbag",かばん
あっち,"other side, over there casual",あっち
大人しい,"gentle, quiet",おとなしい
下手,not good at,へた
厳しい,"strict, severe",きびしい
一人で,"by oneself, alone",ひとりで
答え,"answer, solution",こたえ
この頃,"these days, recently",このごろ
残念,"regretful, disappointing",ざんねん
仕舞う,"put away, put in",しまう
心配,"anxiety, worry",しんぱい
外,"outside, open air",そと
大切,"important, valuable",たいせつ
ちょうど,"just, exactly",ちょうど
助ける,"help, save",たすける
勤める,"serve, hold a job",つとめる
連れていく,"take along, bring along a person",つれていく
丈夫,"healthy, sturdy",じょうぶ
賑やか,"lively, exciting",にぎやか
眠い,sleepy,ねむい
山,mountain,やま
橋,bridge,はし
止まる,"come to a stop, cease",とまる
降る,"fall, come down rain, snow, etc.",ふる
本当,"reality, genuine",ほんとう
町,"town, city",まち
お菓子,"sweets, snacks",おかし
緩い,"slack, loose",ゆるい
良い,good /written form,よい
ようこそ,welcome greeting,ようこそ
お土産,souvenir,おみやげ
両親,parents,りょうしん
ウェーター,waiter,ウェーター
ウェートレス,waitress,ウェートレス
絶対に,"absolutely, definitely",ぜったいに
ごちそう,"feast, treat",ごちそう
フォーク,fork,フォーク
スプーン,spoon,スプーン
瓶,bottle,びん
つく,"be on, be switched on",つく
醤油,soy sauce,しょうゆ
茶碗,rice bowl,ちゃわん
決める,"decide, agree upon",きめる
感じる,"feel, sense",かんじる
生きる,live one’s life,いきる
動かす,move something,うごかす
壊れる,"break, break down",こわれる
復習,review,ふくしゅう
眉,eyebrow,まゆ
客,"visitor, customer",きゃく
机,desk,つくえ
風呂,bath,ふろ
湯,hot water,ゆ
ぬるい,"tepid, lukewarm",ぬるい
風邪薬,cold medicine,かぜぐすり
靴下,socks,くつした
たばこ,"tobacco, cigarette",たばこ
アイスコーヒー,iced coffee,アイスコーヒー
天ぷら,Japanese deep-fried food,て
肉,"flesh, meat",にく
昨夜,"last night, last evening",さくや
流行る,"be in fashion, be popular",はやる
連れて来る,bring a person,つれてくる
方,person form,かた
零,zero,れい
雲,cloud,くも
空,sky,そら
人気,popularity,にんき
兄さん,one’s own older brother,にいさん
姉さん,one’s own older sister,ねえさん
平成,Heisei era,へいせい
毎月,every month,まいつき
半日,half a day,はんにち
半月,half a month,はんつき
なるほど,"I see, really",なるほど
つまり,"in short, that is to say",つまり
そのまま,"as it is, just like that",そのまま
はっきり,clearly,はっきり
大変,"awful, hard",たいへん
簡単,"simple, easy",かんたん
似ている,"look like, resemble",にている
驚く,"be surprised, be startled",おどろく
嫌,dislike situational,いや
喧嘩,"fight, argument",けんか
遅れる,be late,おくれる
にんじん,carrot,にんじん
ジャガイモ,potato,ジャガイモ
ナス,eggplant,ナス
やかん,kettle,やかん
話し合う,"discuss, talk over",はなしあう
残す,"leave, leave undone",のこす
ごちそうする,"treat, host a meal",ごちそうする
合う,"fit, match",あう
当たる,"go straight and hit, strike",あたる
集まる,"gather, be collected",あつまる
場所,"place, space",ばしょ
海,"sea, ocean",うみ
少年,boy between and years old,しょうねん
孫,grandchild,まご
生徒,"pupil, student",せいと
高校,high school for short,こうこう
年上,"older, senior",としうえ
卒業,graduation,そつぎょう
運動,"movement, exercise",うんどう
選手,"athlete, sports player",せんしゅ
映画,movie,えいが
英語,English,えいご
手紙,letter,てがみ
動物,animal,どうぶつ
音,"sound, noise",おと
海外,"overseas, abroad",かいがい
外国人,foreigner,がいこくじん
帰国,return to one’s country,きこく
彼ら,they,かれら
機械,machine,きかい
基本,basics,きほん
今度,"this time, next time",こんど
最後,last,さいご
最初,"first, outset",さいしょ
準備,"preparation, arrangement",じゅんび
進む,"advance, move forward",すすむ
直接,directly,ちょくせつ
特に,"specially, particularly",とくに
届く,"reach, be received",とどく
なぜ,why,なぜ
並ぶ,"line up, be parallel",ならぶ
運ぶ,"carry, transport",はこぶ
直す,"repair, fix",なおす
反対,"oppose, object",はんたい
場合,"situation, case",ばあい
詳しい,detailed,くわしい
いたずら,"mischief, prank",いたずら
お祝い,celebrate,おいわい
くし,comb,くし
こぼれる,"spill, overflow",こぼれる
伝える,"convey, transmit",つたえる
膝,knee,ひざ
肘,elbow,ひじ
枕,pillow,まくら
建物,"building, structure",たてもの
道路,road,どうろ
四つ角,intersection,よつかど
曲がり角,corner to turn,まがりかど
警察,police,けいさつ
空気,"air, atmosphere",くうき
スポーツ,sport,スポーツ
チャンス,chance,チャンス
クリーニング,dry cleaning,クリーニング
サービス,"service, on the house",サービス
グループ,group,グループ
自宅,"one’s house, one’s home",じたく
家庭,"home, family",かてい
期間,"term, period",きかん
年度,"year, school year",ねんど
経験,"experience, knowledge",けいけん
安全,"safety, security",あんぜん
危険,"danger, dangerous",きけん
注意,"attention, care",ちゅうい
成功,success,せいこう
努力,"endeavor, effort",どりょく
説明,"explanation, description",せつめい
地震,earthquake,じしん
手術,surgical operation,しゅじゅつ
火傷,burn,やけど
課題,"task, assignment",かだい
子,"young child, kid",こ
確認,confirmation,かくにん
実際,"reality, actual state",じっさい
国際,international,こくさい
会議,"conference, meeting",かいぎ
提案,"proposition, proposal",ていあん
事務所,"office, one’s place of business",じむしょ
教授,professor,きょうじゅ
世紀,century,せいき
あちこち,"all over, here and there",あちこち
そちら,"there, that way",そちら
あちら,"over there, that way",あちら
もし,"if, in case of",もし
うるさい,"noisy, annoying",うるさい
固い,"stiff, tight",かたい
深い,"deep, profound",ふかい
面白い,"interesting, amusing",おもしろい
全く,"entirely, truly",まったく
半分,half,はんぶん
普通,"normal, regular",ふつう
分,"amount, share",ぶん
文化,culture,ぶんか
毎日,every day,まいにち
気を付ける,"be careful about, pay attention to",きをつける
守る,"protect, observe",まもる
もちろん,of course,もちろん
やはり,as expected,やはり
いくら,how much money,いくら
よろしく,one’s regards,よろしく
どなた,who,どなた
許す,"permit, forgive",ゆるす
分ける,"divide, share",わける
自然,nature,しぜん
アパート,"apartment, flat",アパート
ホテル,hotel,ホテル
パソコン,personal computer,パソコン
うまい,good at,うまい
明るい,"bright, cheerful",あかるい
急ぐ,"hurry, do quickly",いそぐ
歌,song,うた
中学校,junior high school,ちゅうがっこう
テスト,test,テスト
ポスト,"postbox, mailbox",ポスト
ハンカチ,handkerchief,ハンカチ
髪,"hair, hairstyle",かみ
帽子,"hat, cap",ぼうし
被る,"wear, put on on one’s head",かぶる
ブラウス,blouse,ブラウス
週末,weekend,しゅうまつ
先週,last week,せんしゅう
再来週,the week after next,さらいしゅう
いつか,"some time, some day",いつか
宿題,homework,しゅくだい
鍵,"key, lock",かぎ
傘,"umbrella, parasol",かさ
乗り換える,"change, transfer",のりかえる
向かう,"face, head toward",むかう
本屋,bookstore,ほにゃ
お茶,tea,おちゃ
改札口,ticket gate,かいさつぐち
晴れ,"fine weather, clear sky",はれ
バス停,bus stop,ばすてい
曇り,cloudy weather,くもり
塩,salt,しお
たくさん,"a lot, in large quantity",たくさん
大嫌い,hate,だいきらい
中,"inside, middle",なか
二階,"second floor, upstairs",にかい
無くす,"lose, get rid of",なくす
まあまあ,"OK, not bad",まあまあ
黄色,yellow color,きいろ
ランチ,lunch loan word,ランチ
魚,fish,さかな
味,"taste, flavor",あじ
りんご,apple,りんご
みかん,tangerine,みかん
皿,"plate, counter for plates or helpings",さら
コーヒー,coffee,コーヒー
コップ,"cup, glass",コップ
二人,two persons,ふたり
止む,"stop, cease",やむ
九,nine,きゅう
昼間,"daytime, during the day",ひるま
いつ頃,"about when, about what time",いつごろ
字,"individual character, letter",じ
七,seven Chinese origin,なんあ
お釣り,change of money,おつり
名字,"surname, family name",みょうじ
おじ,one’s own uncle,おじ
おば,one’s own aunt,おば
祖父,grandfather,そふ
祖母,grandmother,そぼ
大事,importance,だいじ
見方,"view, perspective",みかた
鳥,"bird, poultry",とり
犬,dog,いぬ
返事,"reply, answer, response",へんじ
また,"again, also, or",また
年間,period of one year,ねんかん
青,"blue, green",あお
赤,red color,あか
信号,"signal, traffic light",しんごう
円,circle,えん
非常に,"very, extremely",ひじょうに
複雑,"complicated, intricate",ふくざつ
平和,"peace, harmony",へいわ
回る,"turn round, go around",まわる
若者,"young person, youth",わかもの
雪,"snow, snowfall",ゆき
うまい,"sweet, delicious",うまい
思い出す,"recollect, recall",おもいだす
聞こえる,"hear, be heard",きこえる
借りる,borrow,かりる
返す,"return, repay",かえす
受け取る,"receive, get",うけとる
捨てる,"discard, abandon",すてる
一緒,"together, same",いっしょ
遊び,"play, amusement",あそび
移す,"move, transfer",うつす
大きさ,"size, dimension",おおきさ
考え,"thought, idea",かんがえ
空港,airport for public transportation,くうこう
出発,"departure, starting",しゅっぱつ
地図,"map, atlas",ちず
運転,drive,うんてん
降りる,"get off, land",おりる
ガス,gas loan word,ガス
必ず,"without exception, always",かならず
カメラ,camera,カメラ
通う,"go to and from, frequent a place",かよう
急に,"suddenly, unexpectedly",きゅうに
サラリーマン,"office worker, company employee",サラリーマン
給料,"salary, pay",きゅうりょう
曲,piece of music,きょく
切れる,"cut well, be sharp",きれる
正しい,"correct, righteous",ただしい
苦しい,"painful, agonizing",くるしい
細かい,"minute, fine",こまかい
静か,"quiet, tranquil",しずか
健康,health,けんこう
ゴルフ,golf,ゴルフ
コース,"course, route",コース
頼む,"order, ask for",たのむ
困る,"be in trouble, not know what to do",こまる
ずっと,"all the time, all through",ずっと
例えば,for example,たとえば
つもり,"intention, purpose",つもり
しばらく,"a little while, a while",しばらく
紹介,introduction,しょうかい
小学校,elementary school,しょうがっこう
公園,"park, public garden",こうえん
中学,junior high,ちゅうがく
成績,"results, grade",せいせき
教科書,"textbook, schoolbook",きょうかしょ
席,"seat, one’s place",せき
教室,"classroom, class",きょうしつ
教師,"teacher, instructor",きょうし
試験,exam,しけん
合格,pass an examination,ごうかく
数学,mathematics,すうがく
数字,numeric characters,すうじ
音楽,music,おんがく
食事,meal,しょくじ
壁,"wall, partition",かべ
信じる,"believe, trust",しんじる
育てる,"bring up, raise",そだてる
倒れる,fall over,たおれる
落とす,drop,おとす
代わる,"substitute, be substituted for",かわる
タクシー,taxi,タクシー
確か,"for sure, for certain",たしか
立てる,"stand, set up",たてる
中学生,junior high school student,ちゅうがくせい
売れる,"sell, be in demand",うれる
着く,"arrive at, reach",つく
決まる,be decided,きまる
飾る,decorate,かざる
殺す,kill,ころす
下げる,"lower, turn down",さげる
贈る,"offer, give",おくる
訪ねる,"visit, go to see",たずねる
打つ,"hit, strike",うつ
相談,"consultation, advice",そうだん
玄関,"entrance, door",げんかん
兄弟,sibling,きょうだい
長男,eldest son,ちょうなん
高さ,height,たかさ
用,things to do,よう
時代,"age, era",じだい
位置,"position, location",いち
季節,season,きせつ
穴,hole,あな
裏,"the back, the reverse side",うら
島,island Japanese origin,しま
海岸,"seashore, coast",かいがん
ガラス,glass material,ガラス
自然,natural,しぜん
風,wind,かぜ
科学,science,かがく
太陽,sun,たいよう
台風,typhoon,たいふう
北,north,きた
馬,horse,うま
牛肉,beef,ぎゅうにく
雑誌,"magazine, journal",ざっし
小説,novel,しょうせつ
大使館,embassy,たいしかん
故障,"malfunction, breakdown",こしょう
温度,temperature,おんど
何か,"something, some",なにか
向こう,"over there, on the other side",むこう
真ん中,"center, middle casual",まんなか
遠く,"far away, at a distance",とおく
横,"side, width across",よこ
つまらない,"boring, dull",つまらない
素晴らしい,"excellent, wonderful",すばらしい
毎年,every year,まいとし
来月,next month,らいげつ
日時,date and time,にちじ
夕方,"early evening, at dusk",ゆうがた
通る,"pass, go through",とおる
自動車,automobile,じどうしゃ
慣れる,"grow accustomed to, get used to",なれる
撮る,"take a photograph, film",とる
やっと,"at last, finally",やっと
どんどん,"knock, bang",どんどん
並べる,"line up, arrange",ならべる
逃げる,"escape, run away",にげる
渡す,"hand over, give",わたす
値段,price,ねだん
両方,both,りょうほう
約束,"promise, vow",やくそく
一部,part,いちぶ
ラジオ,radio,ラジオ
入院,be hospitalized,にゅういん
ニュース,news,ニュース
旅行,"travel, trip",りょこう
用意,preparation,ようい
伸びる,"stretch, grow",のびる
パーティー,party,パーティー
ビール,beer,ビール
早く,"early, soon",はやく
番組,program,ばんぐみ
ビデオ,video,ビデオ
増やす,increase,ふやす
振る,"wave, shake",ふる
迎える,"welcome, receive a visitor",むかえる
無理,"unreasonable, impossible",むり
珍しい,"rare, scarce",めずらしい
有名,famous,ゆうめい
喜ぶ,"be happy, be delighted",よろこぶ
留学,study abroad,りゅうがく
料理,cooking,りょうり
野菜,vegetable,やさい
分かれる,"be divided, split off",わかれる
特別,special,とくべつ
理由,"reason, excuse",りゆう
自由,freedom,じゆう
方向,"direction, course",ほうこう
残る,"remain, be left over",のこる
ビル,building,ビル
まとめる,"gather together, put in order",まとめる
流れる,"flow, run",ながれる
セーター,sweater,セーター
シャツ,shirt,シャツ
洗濯,"laundry, washing",せんたく
間違える,"make a mistake, fail at",まちがえる
アイスクリーム,ice cream,アイスクリーム
乾く,become dry,かわく
冷める,cool off,さめる
色々,a variety of,いろいろ
持って行く,"take, bring",もっていく
着替える,change clothes,きがえる
石鹸,soap,せっけん
野球,baseball,やきゅう
昼食,lunch,ちゅうしょく
朝食,breakfast,ちょうしょく
眠る,"sleep, lie idle",ねむる
初め,beginning,はじめ
火,"fire, flame",ひ
西,"west, western",にし
東,"east, eastern",ひがし
南,south,みなみ
夕食,"supper, dinner",ゆうしょく
なかなか,"rather, pretty",なかなか
励ます,"encourage, cheer up",はげます
涙,tear,なみだ
夢,dream,ゆめ
職場,"place of work, office",しょくば
隣,"next to, next door",となり
マンション,"apartment, residential building",マンション
エレベーター,elevator,エレベーター
窓,window,まど
押す,"push, press down",おす
入学,"enter a school, matriculate",にゅうがく
戸,"door, sliding door",と
通り,"street, road",とおり
亡くなる,"die, pass away",なくんある
夫婦,"husband and wife, married couple",ふうふ
女性,"woman, female",じょせい
森,forest,もり
トラック,truck,トラック
レコード,record,レコード
熱,"heat, fever",ねつ
ページ,page,ページ
踊る,dance,おどる
長さ,length,ながさ
厚さ,thickness,あつさ
秘密,"secret, privacy",ひみつ
